group_id,procedure_id,official_name_en,official_name_ar,is_pre_registration,transaction_rows,classification,eligible_for_sale_market_metrics,policy_version,rationale
2,371,Lease Development Registration,تسجيل حق منفعة بالاجارة,False,471,mortgage_or_finance,False,dld-market-audit-phase3a-v1,Official transaction group is Mortgages.
2,372,Lease Development Modify,تعديل حق منفعة بالاجارة,False,2,mortgage_or_finance,False,dld-market-audit-phase3a-v1,Official transaction group is Mortgages.
2,373,Lease Development Transfer,تحويل حق منفعة بالاجارة,False,0,mortgage_or_finance,False,dld-market-audit-phase3a-v1,Official transaction group is Mortgages.
2,715,Delayed Sell Lease to Own Registration,تسجيل إيجاره تنتهى بالتملك على بيع مبدئى,False,359,mortgage_or_finance,False,dld-market-audit-phase3a-v1,Official transaction group is Mortgages.
2,716,Delayed Sell Lease To Own Modification,تعديل إيجاره تنتهى بالتملك على بيع مبدئى,False,1,mortgage_or_finance,False,dld-market-audit-phase3a-v1,Official transaction group is Mortgages.
2,717,Delayed Sell Lease To Own Transfer,تحويل إيجارة تنتهى بالتملك على بيع مبدئى,False,0,mortgage_or_finance,False,dld-market-audit-phase3a-v1,Official transaction group is Mortgages.
2,810,Lease Finance Registration,تسجيل اجارة تمويلية,False,8227,mortgage_or_finance,False,dld-market-audit-phase3a-v1,Official transaction group is Mortgages.
2,811,Lease Finance Modification,تعديل اجارة تمويلية,False,387,mortgage_or_finance,False,dld-market-audit-phase3a-v1,Official transaction group is Mortgages.
2,814,Lease to Own on Development Registration,تسجيل إيجارة تنتهي بالتملك على حق منفعة,False,310,mortgage_or_finance,False,dld-market-audit-phase3a-v1,Official transaction group is Mortgages.
2,815,Lease to Own on Development Modification,تعديل إيجارة تنتهي بالتملك على حق منفعة,False,10,mortgage_or_finance,False,dld-market-audit-phase3a-v1,Official transaction group is Mortgages.
2,816,Lease to Own on Development Transfer,تحويل إيجارة تنتهي بالتملك على حق منفعة,False,0,mortgage_or_finance,False,dld-market-audit-phase3a-v1,Official transaction group is Mortgages.
2,861,Development Mortgage Pre-Registration,رهن حق منفعة تسجيل مبدئى,True,12,mortgage_or_finance,False,dld-market-audit-phase3a-v1,Official transaction group is Mortgages.
3,9,Grant,هبه,False,58645,gift_or_grant,False,dld-market-audit-phase3a-v1,Official transaction group is Gifts.
3,59,Grant Development,هبة حق المنفعة,False,1345,gift_or_grant,False,dld-market-audit-phase3a-v1,Official transaction group is Gifts.
3,120,Grant Pre-Registration,هبه - تسجيل مبدئى,True,3827,gift_or_grant,False,dld-market-audit-phase3a-v1,Official transaction group is Gifts.
3,219,Grant on Delayed Sell,هبة على بيع مبدئى,False,2372,gift_or_grant,False,dld-market-audit-phase3a-v1,Official transaction group is Gifts.
